v0_m_s,force_N,duration_s,displacement_m,v_final_m_s
5.680442436484812,15.870112897581194,0.34697959367465714,2.749176442817327,10.165886817073954
3.405435693185183,-2.1168997288487432,0.7153226654017621,1.1459705608690254,0.0
0.0,-4.6759638054277595,0.4717154723831225,-0.19280564245996812,-0.8174658401002092
-0.8218252349764477,7.027204372062414,0.12922328891573184,-0.02939898598815773,0.1911210201343842
-5.366476636294477,0.0,0.6260681817049479,-2.783009116624044,-3.5239579775368153
2.0889196226681044,-11.899669456861549,0.142227611663395,0.14698467823251135,-0.013346781594215908
-3.0816181863440573,0.0,0.5638536168708477,-1.2697462389834362,-1.4221969918931525
1.7250831154959982,13.607431869909874,0.8690607065802299,5.526446080203007,10.993121811636597
-3.6474980221299313,-12.59068459744963,0.8634089099232413,-6.74533586710969,-11.97739486369716
0.0,3.7750275397085624,0.4652016731616966,0.0,0.0
0.0,18.673974517323366,0.10633984167927314,0.0889442035665,1.672829339632847
-1.7170517506629945,-19.097681907747184,0.45533867555892715,-2.4565419016144747,-9.07290321461236
5.4148668556534645,-6.154041738894778,0.601064502958475,1.6115013441962578,-0.018722583743542152
-4.857059917850506,-15.688718671997218,0.47245943915265387,-3.7173002206324623,-10.878895013219822
5.360670253653414,14.915996505148087,0.6493905841808276,6.005723775887235,13.135821448526539
6.509303047904776,-2.1103336538621846,0.9627055731306314,3.9248224009911494,1.6444305764430744
-9.95376853783948,13.981648145867085,0.5877948106170912,-2.927017343834928,-0.0055481861786343956
-8.395893504859536,0.0,0.7676912196238949,-5.578225481094117,-6.1365782455064135
-6.823993054343829,-14.337959680288828,0.9589106368174318,-11.782486987763324,-17.750741097878546
7.466843043323269,3.240547173069288,0.10508979221274267,0.7863320192280598,7.4981122139146095
2.7271927887832366,-7.845713977858683,0.248912629699869,0.34461187058713855,0.041745621474697625
-3.9934454394617553,3.51056301104029,0.3273423384942427,-0.9614644289387877,-1.8809210318078806
0.5918234392400468,10.58538975725234,0.930627445993207,3.8601796143765315,7.704041100316438
0.0,3.8749859583446113,0.23423703413400984,0.0,0.0
-7.19301117402853,-17.464370189605248,0.8091448822311506,-10.57387081904277,-18.942903545931607
-8.546282149063407,-9.508602949792007,0.1649960369422705,-1.4994726621140548,-9.629580615915568
0.0,-3.898350685331526,0.26701035035622633,0.0,0.0
6.2944281300559695,13.069376855744316,0.4641027913264104,4.011828913548406,10.994107894830066
0.0,4.047276122209697,0.4482711074025758,0.11095047908689236,0.49501508018116286
4.738815436280305,0.0,0.30095697015179323,1.2928982792767119,3.8530990731235777
-3.7435354333577386,-15.700973235423072,0.7011487088162759,-5.760745532895365,-12.688771894487232
0.0,-4.11120245457481,0.5578610740967719,-0.1817775459882222,-0.6516946760715889
8.536803509072534,-17.525027109302634,0.28966302312161774,1.6141148132255663,2.6079728992567066
0.0,2.0695984160072385,0.5128456370553172,0.0,0.0
-1.2083596986411305,-0.7029280949444439,0.514804550354649,-0.3252329709790345,-0.05516048879692281
-9.38884773179729,12.57925195945505,0.2416566552862756,-1.8156437779801724,-5.637792240764544
-0.44823032816631425,-12.265817031073825,0.8008946071358821,-3.3489626400682377,-7.914824211667896
3.1114683027928933,0.0,0.24014350031037968,0.6623391018966274,2.404725981379446
-9.09405615826068,-6.154231378186132,0.8241904116806763,-8.58591230497003,-11.740722269849813
0.0,19.033674600576646,0.6382632489344956,3.277509307778666,10.270086248111816
-3.0019644892790183,11.725380042590537,0.20944725658133545,-0.3070834288587978,0.04208312467867195
-7.164849278890664,18.605177447730156,0.11949531369302598,-0.7023212986829246,-4.589943055261161
-3.449891063772088,2.41200924869338,0.6232873001407214,-1.1100973912407728,-0.11218180692539859
8.987390982115837,1.812302951421568,0.5106662565287754,4.442125706184751,8.409982153050155
-6.196118331924289,7.822951611400047,0.5968045028163806,-1.781918733533358,0.10382298594891462
3.4421966772786234,-3.766067432831065,0.9202574346273938,0.8830376265921746,0.0
-1.1832946676611158,0.0,0.6102239005245828,-0.23788417779735477,0.0
-3.173624091007521,-9.188817702967214,0.809361286452291,-4.614318924887934,-8.228747142027558
0.0,4.0601681993911924,0.7429402488188207,0.30831619882233247,0.8299892200281663
