v0_m_s,force_N,force_duration_s,observation_time_s,displacement_m,v_final_m_s
7.51341880677392,14.165750293317998,0.5963670868175545,2.0875891945019633,24.38896886236131,9.817631042365615
4.355596619421947,-5.27924896294234,0.174400554220971,1.914846433481776,2.084785755475928,0.0
-0.6387349136003699,-1.3736464515102327,0.6881249932978616,2.5172574729415604,-0.12998418687894922,0.0
-1.5028971172825951,0.0,0.5612043375120918,2.3949287245772517,-0.3837410372300943,0.0
0.0,4.094613632846397,0.991794063782698,2.0452658832487236,0.788029502164534,0.0
0.0,3.904818192953999,0.7125055912939299,2.577982415691952,0.0,0.0
0.0,-0.3122943351300549,0.9102320402617836,1.4653610171880933,0.0,0.0
-6.18373036576714,0.0,0.6681203781650586,2.284055662213796,-6.496520767331058,0.0
0.0,-4.078846386270518,0.6065280708208444,1.3601662651345245,-0.2895599567918297,0.0
-4.914805643443723,0.0,0.7873430598210954,0.8985233796512581,-3.2280606929239792,-2.27045133713007
-2.752348895332071,1.6562293774531116,0.6083828823591326,0.6930307744929631,-0.8235536673570596,0.0
-8.918292578420548,0.0,0.5707710358982516,0.8364509139784122,-6.430178809851393,-6.456617538582081
0.0,-13.74364821878276,0.18445147585184002,1.7853932826660093,-0.8580169411321548,0.0
9.692447251186582,8.648262983680162,0.8628584317821819,2.34923813931808,28.959901038933353,10.24086604291163
-9.99450314818282,0.0,0.25197915475178667,0.2681229312869913,-2.573969483753982,-9.205417361405205
0.0,17.35303185232314,0.40383574177378534,0.6365120431327004,2.4493632882939185,5.134519547167503
0.0,-14.064925167562269,0.7997643988821739,1.5585343388219712,-9.458928475598036,-6.6618598628051355
0.689779891562841,19.02995177942335,0.6560464849767992,1.0479533925845796,8.094838285850912,10.090186031355096
0.0,16.676815743962692,0.3225048704984719,0.7236656446539991,2.2542447773410936,3.248606309616846
9.663159634841588,-0.14946238211452112,0.7295174136259766,2.335770134279975,14.32776738801179,2.679952719221059
-8.271071505583564,0.0,0.19348088791208184,1.184647957951273,-7.733218430093274,-4.7846525653329675
0.0,11.624025183984795,0.6187113984647878,1.6367297584509157,5.604385648395464,2.375021198252101
